Pure Tag,Edited Version (if appl.) –,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,EO
Post-Rock,Post-Rock,Rock,,,,,,,,,,,,196
Power Metal,Power Metal,Metal,Rock,,,,,,,,,,,197
Progressive Rock,Progressive Rock,Rock,,,,,,,,,,,,198
Progressive Country,Progressive Country,Country,Northern American Music,Regional Music,,,,,,,,,,199
Progressive Electronic,Progressive Electronic,Electronic,,,,,,,,,,,,200
Progressive Metal,Progressive Metal,Metal,Rock,,,,,,,,,,,201
Progressive Pop,Progressive Pop,Pop,,,,,,,,,,,,202
Proto-Punk,Proto-Punk,Punk,,,,,,,,,,,,203
Psybient,Psybient,Electronic,,,,,,,,,,,,204
Pub Rock,Pub Rock,Rock,,,,,,,,,,,,205
Rap Rock,Rap Rock,Rock,,,,,,,,,,,,206
Reductionism,Reductionism,Experimental,,,,,,,,,,,,207
Rhythm & Blues,Rhythm & Bl–es,R&B,,,,,,,,,,,,208
Rock & Roll,Rock & Roll,Rock,,,,,,,,,,,,209
Roots Rock,Roots Rock,Rock,,,,,,,,,,,,210
Satire,Satire,Descriptor Genres,,,,,,,,,,,,211
Show Tunes,Show Tunes,Musical Theatre,,,,,,,,,,,,212
Sketch Comedy,Sketch Comedy,Comedy,,,,,,,,,,,,213
Sludge Metal,Sludge Metal,Metal,Rock,,,,,,,,,,,214
Smooth Jazz,Smooth Jazz,Jazz,,,,,,,,,,,,215
Snap,Snap,Hip Hop,,,,,,,,,,,,216
Sophisti-Pop,Sophisti-Pop,Pop,,,,,,,,,,,,217
Soul Blues,S0ul Blues,Blues,,,,,,,,,,,,218
Soul Jazz,S0ul Jazz,Jazz,,,,,,,,,,,,219
Sound Collage,Sound Collage,Experimental,,,,,,,,,,,,220
Soundtrack,Soundtrack,Descriptor Genres,,,,,,,,,,,,221
South Asian Music,South Asian Music,Regional Music,,,,,,,,,,,,222
Southeast Asian Music,Southeast Asian Music,Regional Music,,,,,,,,,,,,223
Southern Hip Hop,Southern Hip Hop,Hip Hop,,,,,,,,,,,,224
Southern Metal,Southern Metal,Metal,Rock,,,,,,,,,,,225
Southern Rock,Southern Rock,Rock,,,,,,,,,,,,226
Space Ambient,Space Ambient,Ambient,,,,,,,,,,,,227
Spacesynth,Spacesynth,EDM,Dance,Electronic,,,,,,,,,,228
Speed Metal,Speed Metal,Metal,Rock,,,,,,,,,,,229
Spoken Word,Spoken Word,Descriptor Genres,,,,,,,,,,,,230
Stoner Metal,Stoner Metal,Metal,Rock,,,,,,,,,,,231
Sunshine Pop,Sunshine Pop,Pop,,,,,,,,,,,,232
Surf Music,Surf Music,Rock,,,,,,,,,,,,233
Swing,Sw–ng,Jazz,,,,,,,,,,,,234
Symphonic Metal,Symphonic Metal,Metal,Rock,,,,,,,,,,,235
Symphonic Rock,Symphonic Rock,Rock,,,,,,,,,,,,236
Synthwave,Synthwave,Electronic,,,,,,,,,,,,237
Tape Music,Tape Music,Experimental,,,,,,,,,,,,238
Techno,Techno,EDM,Dance,Electronic,,,,,,,,,,239
Teen Pop,Teen Pop,Pop,,,,,,,,,,,,240
Third Stream,Third Stream,Jazz,,,,,,,,,,,,241
Third Wave Ska,Third Wave Ska,Ska,Reggae / Ska / Dancehall,,,,,,,,,,,242
Thrash Metal,Thrash Metal,Metal,Rock,,,,,,,,,,,243
Traditional Pop,Traditional Pop,Pop,,,,,,,,,,,,244
Trance,Trance,EDM,Dance,Electronic,,,,,,,,,,245
Trap [EDM],Tr@p [EDM],EDM,Dance,Electronic,,,,,,,,,,246
Trap,Trap,Hip Hop,,,,,,,,,,,,247
Tribal Ambient,Tribal Ambient,Ambient,,,,,,,,,,,,248
Turntable Music,Turntable Music,Experimental,,,,,,,,,,,,249
Turntablism,Turntablism,Hip Hop,,,,,,,,,,,,250
UK Bass,UK Bass,EDM,Dance,Electronic,,,,,,,,,,251
UK Garage,UK Garage,EDM,Dance,Electronic,,,,,,,,,,252
UK Hip Hop,UK Hip Hop,Hip Hop,,,,,,,,,,,,253
Vapor,Vapor,Electronic,,,,,,,,,,,,254
Vaporwave,Vaporwave,Electronic,Vapor,,,,,,,,,,,255
Vaudeville Blues,Vaudeville Blues,Blues,,,,,,,,,,,,256
Vocal Jazz,Vocal Jazz,Jazz,,,,,,,,,,,,257
West Asian Music,West Asian Music,Regional Music,,,,,,,,,,,,258
West Coast Hip Hop,West Coast Hip Hop,Hip Hop,,,,,,,,,,,,259
Western Classical,Western Classical,Classical,,,,,,,,,,,,260
Wonky,Wonky,EDM,Dance,Electronic,,,,,,,,,,261
Yé-yé,Yé-yé,Pop,,,,,,,,,,,,262
Traditional Folk,Traditional Folk,Folk,Regional Music,,,,,,,,,,,263
Punk Rock,Punk Rock,Rock,Punk,,,,,,,,,,,264
Psychedelic Rock,Psychedelic Rock,Rock,Psych,,,,,,,,,,,265
Pop Rock,Pop Rock,Pop,Rock,,,,,,,,,,,266
Psychedelic Folk,Psychedelic Folk,Contemporary Folk,Folk,Psych,Folk,,,,,,,,,267
Eurodance,Eurodance,EDM,Dance-Pop,Pop,Dance,Electronic,,,,,,,,268
