Pure Tag,Edited Version (if appl.) –,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,EO
Memphis Rap,Memphis Rap,Hardcore Hip Hop,Hip Hop,,,,,,,,,,,386
Microhouse,Microhouse,EDM,House,Dance,Electronic,,,,,,,,,387
Microtonal,Microtonal,Modern Classical,Classical,,,,,,,,,,,388
Minimal Drum and Bass,Minimal Drum and Bass,EDM,Drum and Bass,Dance,Electronic,,,,,,,,,389
Minimal Synth,Minimal Synth,Minimal Wave,Electronic,,,,,,,,,,,390
Minimal Techno,Minimal Techno,EDM,Techno,Dance,Electronic,,,,,,,,,391
Minimalism,Minimalism,Modern Classical,Classical,,,,,,,,,,,392
Mod Revival,M0d Revival,Rock,Mod,Scenes & Movements,,,,,,,,,,393
Moombahcore,Moombahcore,Moombahton,EDM,Dance,Electronic,,,,,,,,,394
MPB,MPB,Brazilian Music,South American Music,Regional Music,,,,,,,,,,395
Native American Music,Native American Music,Traditional Folk,Folk,,,,,,,,,,,396
Neo-Soul,Neo-Soul,R&B,Soul,,,,,,,,,,,397
Neofolk,Neofolk,Contemporary Folk,Folk,,,,,,,,,,,398
Neue Deutsche Welle,Neue Deutsche Welle,New Wave,Rock,Scenes & Movements,,,,,,,,,,399
New Jack Swing,New Jack Swing,Contemporary R&B,R&B,,,,,,,,,,,400
Noise Pop,N0ise P0p,Alternative Rock,Indie Rock,Rock,,,,,,,,,,401
North African Music,North African Music,African Music,Regional Music,,,,,,,,,,,402
Northeastern African Music,Northeastern African Music,African Music,Regional Music,,,,,,,,,,,403
Northern Soul,Northern Soul,R&B,Soul,,,,,,,,,,,404
Nu Metal,Nu Metal,Alternative Metal,Metal,Rock,,,,,,,,,,405
NWOBHM,NWOBHM,Heavy Metal,Metal,Rock,Scenes & Movements,,,,,,,,,406
Onkyo,Onkyo,Reductionism,Experimental,Scenes & Movements,,,,,,,,,,407
Orchestral,Orchestral,Western Classical,Classical,,,,,,,,,,,408
Outlaw Country,Outlaw Country,Progressive Country,Country,Northern American Music,Regional Music,,,,,,,,,409
P-Funk,P-Funk,R&B,Funk,,,,,,,,,,,410
Pagan Black Metal,Pagan Black Metal,Black Metal,Metal,Rock,,,,,,,,,,411
Philly Soul,Philly Soul,R&B,Soul,,,,,,,,,,,412
Poetry,Poetry,Spoken Word,Descriptor Genres,,,,,,,,,,,413
Pop Punk,P0p Punk,Punk Rock,Punk,,,,,,,,,,,414
Post-Grunge,Post-Gr–nge,Alternative Rock,Rock,,,,,,,,,,,415
Post-Minimalism,Post-M–nimalism,Modern Classical,Classical,,,,,,,,,,,416
Progressive Big Band,Progressive Big Band,Jazz,Big Band,,,,,,,,,,,417
Progressive Folk,Progressive Folk,Contemporary Folk,Folk,,,,,,,,,,,418
Progressive House,Progressive House,EDM,House,Dance,Electronic,,,,,,,,,419
Progressive Trance,Progressive Trance,EDM,Trance,Dance,Electronic,,,,,,,,,420
Psytrance,Psytrance,EDM,Trance,Dance,Electronic,,,,,,,,,421
Punk Blues,Punk Bl–es,Punk Rock,Punk,,,,,,,,,,,422
Purple Sound,Purple Sound,Dubstep,EDM,Dance,Electronic,,,,,,,,,423
Rap Metal,Rap Metal,Alternative Metal,Metal,Rock,,,,,,,,,,424
Riot Grrrl,Riot Grrrl,Punk Rock,Punk,Scenes & Movements,,,,,,,,,,425
Rockabilly,Rockabilly,Rock & Roll,Rock,,,,,,,,,,,426
Romanticism,Romanticism,Western Classical,Classical,,,,,,,,,,,427
Samba,Samba,Brazilian Music,South American Music,Regional Music,,,,,,,,,,428
Sequencer & Tracker,Sequencer & Tracker,Bit Music,Electronic,,,,,,,,,,,429
Shoegaze,Shoegaze,Alternative Rock,Rock,,,,,,,,,,,430
Skiffle,Skiffle,Contemporary Folk,Folk,,,,,,,,,,,431
Smooth Soul,Smooth Soul,R&B,Soul,,,,,,,,,,,432
Sonorism,Sonorism,Modern Classical,Classical,,,,,,,,,,,433
Southern African Music,Southern African Music,African Music,Regional Music,,,,,,,,,,,434
Southern Soul,Southern Soul,R&B,Soul,,,,,,,,,,,435
Space Age Pop,Space Age P0p,Easy Listening,,,,,,,,,,,,436
Spaghetti Western,Spaghetti Western,Modern Classical,Classical,,,,,,,,,,,437
Spanish Music,Spanish Music,Hispanic Music,Regional Music,European Music,,,,,,,,,,438
Speed Garage,Speed Garage,UK Garage,EDM,Dance,Electronic,,,,,,,,,439
Spiritual Jazz,Spiritual Jazz,Avant-Garde Jazz,Jazz,,,,,,,,,,,440
Standards,Standards,Traditional Pop,Pop,,,,,,,,,,,441
Stoner Rock,Stoner Rock,Hard Rock,Rock,,,,,,,,,,,442
Surf Rock,Surf Rock,Surf Music,Rock,,,,,,,,,,,443
Swamp Rock,Swamp Rock,Roots Rock,Rock,,,,,,,,,,,444
Swing Revival,Sw–ng Revival,Jazz,Swing,,,,,,,,,,,445
Symphonic Black Metal,Symphonic Black Metal,Black Metal,Metal,Rock,,,,,,,,,,446
Symphonic Prog,Symphonic Prog,Progressive Rock,Rock,,,,,,,,,,,447
Synth Funk,Synth Funk,R&B,Funk,,,,,,,,,,,448
Tech Trance,Tech Trance,EDM,Trance,Dance,Electronic,,,,,,,,,449
Technical Death Metal,Technical Death Metal,Death Metal,Metal,Rock,,,,,,,,,,450
Techstep,Techstep,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,451
Television Music,Television Music,Soundtrack,Descriptor Genres,,,,,,,,,,,452
Throat Singing,Throat Singing,Traditional Folk,Folk,,,,,,,,,,,453
Traditional Doom Metal,Traditional Doom Metal,Doom Metal,Metal,Rock,,,,,,,,,,454
Tribal House,Tribal House,EDM,House,Dance,Electronic,,,,,,,,,455
Trip Hop,Trip Hop,Downtempo,Electronic,,,,,,,,,,,456
Tropical House,Tropical House,EDM,House,Dance,Electronic,,,,,,,,,457
Trot,Trot,East Asian Music,Asian Music,Regional Music,,,,,,,,,,458
Twee Pop,Twee Pop,Indie Pop,Pop Rock,Indie Rock,Alternative Rock,Pop,,,,,,,,459
Twerk,Twerk,Trap [EDM],EDM,Dance,Electronic,,,,,,,,,460
UK Funky,UK F–nky,UK Garage,EDM,Dance,Electronic,,,,,,,,,461
UK Hard House,UK Hard House,EDM,House,Dance,Electronic,,,,,,,,,462
Uplifting Trance,Uplifting Trance,EDM,Trance,Dance,Electronic,,,,,,,,,463
Video Game Music,Video Game Music,Soundtrack,Descriptor Genres,,,,,,,,,,,464
Vocal Trance,Vocal Trance,EDM,Trance,Dance,Electronic,,,,,,,,,465
West African Music,West African Music,African Music,Regional Music,,,,,,,,,,,466
Batucada,Batucada,Samba,Brazilian Music,South American Music,Regional Music,,,,,,,,,467
Beat Poetry,Beat Poetry,Spoken Word,Poetry,Descriptor Genres,,,,,,,,,,468
Blackgaze,Blackgaze,Atmospheric Black Metal,Black Metal,Metal,Rock,,,,,,,,,469
Bolero,Bolero,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,,470
Celtic Folk Music,Celtic Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,,,471
Complextro,Complextro,Electro House,EDM,House,Dance,Electronic,,,,,,,,472
Cuban Music,Cuban Music,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,,,,,,,,,473
Dancehall,Danc3hall,Jamaican Music,Caribbean Music,Regional Music,Reggae / Ska / Dancehall,,,,,,,,,474
Dark Folk,Dark Folk,Neofolk,Contemporary Folk,Folk,,,,,,,,,,475
Dub Techno,Dub Techno,Minimal Techno,EDM,Techno,Dance,Electronic,,,,,,,,476
Dunedin Sound,Dunedin Sound,Indie Rock,Alternative Rock,Rock,Scenes & Movements,,,,,,,,,477
English Folk Music,English Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,British Music,European Music,,,,,,,478
Fanfare,Fanfare,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,,,479
Film Score,Film Score,Film Soundtrack,Soundtrack,Descriptor Genres,,,,,,,,,,480
French Folk Music,French Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,,,481
Future Bounce,Future Bounce,Future House,EDM,House,Dance,Electronic,,,,,,,,482
Ghettotech,Ghettotech,Ghetto House,EDM,House,Dance,Electronic,,,,,,,,483
Gumbe,Gumbe,West African Music,African Music,Regional Music,,,,,,,,,,484
Hands Up,Hands Up,Euro-Trance,EDM,Trance,Dance,Electronic,,,,,,,,485
Highlife,Highlife,West African Music,African Music,Regional Music,,,,,,,,,,486
Inuit Music,Inuit Music,Native American Music,Traditional Folk,Folk,,,,,,,,,,487
Japanese Hardcore,Japanese Hardcore,Punk Rock,Hardcore Punk,Punk,,,,,,,,,,488
Juke,Juke,Ghetto House,EDM,House,Dance,Electronic,,,,,,,,489
Kayōkyoku,Kayōkyoku,Japanese Music,East Asian Music,Asian Music,Regional Music,,,,,,,,,490
Latin Alternative,Latin Alternative,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,,491
Slacker Rock,Slacker Rock,Indie Rock,Alternative Rock,Rock,,,,,,,,,,492
Makossa,Makossa,Central African Music,African Music,Regional Music,,,,,,,,,,493
Mande Music,Mande Music,West African Music,African Music,Regional Music,,,,,,,,,,494
Melbourne Bounce,Melbourne B0unce,Electro House,EDM,House,Dance,Electronic,,,,,,,,495
Mexican Music,Mexican Music,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,,496
Noisecore,N0isecore,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],,,,,,,,497
Nu Style Gabber,Nu Style Gabber,Hardcore [EDM],Gabber,EDM,Dance,Electronic,,,,,,,,498
Nyahbinghi,Nyahbinghi,Jamaican Music,Caribbean Music,Regional Music,,,,,,,,,,499
Outsider House,Outsider House,EDM,House,Dance,Electronic,,,,,,,,,500
Powerviolence,Powerviolence,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],,,,,,,,501
Ragga Jungle,R@gga Jungle,Drum and Bass,EDM,Jungle,Dance,Electronic,,,,,,,,502
Reggae,Reggae,Jamaican Music,Caribbean Music,Regional Music,Reggae / Ska / Dancehall,,,,,,,,,503
Reggaetón,R3ggaetón,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,,504
Rocksteady,R0cksteady,Jamaican Music,Caribbean Music,Regional Music,Reggae / Ska / Dancehall,,,,,,,,,505
Samba de roda,Samba de roda,Brazilian Music,Samba,South American Music,Regional Music,,,,,,,,,506
Samba-canção,Samba-canção,Brazilian Music,Samba,South American Music,Regional Music,,,,,,,,,507
Samba-Rock,Samba-R0ck,Brazilian Music,Samba,South American Music,Regional Music,,,,,,,,,508
Slowcore,Slowcore,Indie Rock,Alternative Rock,Rock,,,,,,,,,,509
Symphony,Symphony,Orchestral,Western Classical,Classical,,,,,,,,,,510
Tizita,Tizita,Northeastern African Music,African Music,Regional Music,,,,,,,,,,511
Tone Poem,Tone Poem,Orchestral,Western Classical,Classical,,,,,,,,,,512
Tropicália,Tropicália,MPB,Brazilian Music,South American Music,Regional Music,Scenes & Movements,,,,,,,,513
Wolof Music,Wolof Music,West African Music,African Music,Regional Music,,,,,,,,,,514
Yoruba Music,Yoruba Music,West African Music,African Music,Regional Music,,,,,,,,,,515
Brass Band,Brass Band,Fanfare,European Folk Music,Traditional Folk,Folk,,,,,,,,,516
Breton Folk Music,Breton Folk Music,French Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,,517
Dub,D–b,Jamaican Music,Caribbean Music,Reggae,Regional Music,Reggae / Ska / Dancehall,,,,,,,,518
Footwork,Footwork,EDM,House,Dance,Electronic,,,,,,,,,519
Irish Folk Music,Irish Folk Music,Celtic Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,,520
Lovers Rock,Lovers R0ck,Reggae,Jamaican Music,Caribbean Music,Regional Music,Reggae / Ska / Dancehall,,,,,,,,521
Neoperreo,Neoperreo,Reggaetón,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,522
Pop Reggae,P0p Reggae,Jamaican Music,Caribbean Music,Reggae,Regional Music,Reggae / Ska / Dancehall,,,,,,,,523
Ragga,Ragga,Dancehall,Jamaican Music,Caribbean Music,Regional Music,Reggae / Ska / Dancehall,,,,,,,,524
Roots Reggae,Roots Reggae,Jamaican Music,Caribbean Music,Reggae,Regional Music,Reggae / Ska / Dancehall,,,,,,,,525
Son Cubano,Son Cubano,Cuban Music,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,,,,,,,,526
Tassu,Tassu,Wolof Music,West African Music,African Music,Regional Music,,,,,,,,,527
Trova,Trova,Cuban Music,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,,,,,,,,528
Acid Rock,Acid Rock,Psychedelic Rock,Psych,Rock,Rock,,,,,,,,,529
Afro-Funk,Afro-Funk,R&B,Funk,West African Music,African Music,Regional Music,,,,,,,,530
Afro-Rock,Afro-Rock,Rock,West African Music,African Music,Regional Music,,,,,,,,,531
Afrobeat,Afrobeat,Funk,R&B,Yoruba Music,West African Music,African Music,Regional Music,,,,,,,532
Alternative Dance,Alternative Dance,Alternative Rock,Dance,Rock,Rock,,,,,,,,,533
Amapiano,Amapiano,House,EDM,Southern African Music,African Music,Regional Music,Dance,Electronic,,,,,,534
Ambient Dub,Ambient Dub,Electronic,Ambient,,,,,,,,,,,535
American Folk Music,American Folk Music,Traditional Folk,Folk,Regional Music,Folk,,,,,,,,,536
Andalusian Rock,Andalusian Rock,Progressive Rock,Folk Rock,Spanish Music,Hispanic Music,Rock,Regional Music,,,,,,,537
Appalachian Folk Music,Appalachian Folk Music,American Folk Music,Traditional Folk,Folk,Regional Music,,,,,,,,,538
Avant-Prog,Avant-Prog,Experimental Rock,Progressive Rock,Rock,,,,,,,,,,539
Baltimore Club,Baltimore Club,Breakbeat,House,EDM,Dance,Electronic,,,,,,,,540
Beat Music,Beat Music,Pop Rock,Pop,Rock,,,,,,,,,,541
Big Room,Big Room,Progressive House,Electro House,EDM,House,Dance,Electronic,,,,,,,542
Bitpop,Bitpop,Electronic,Pop,,,,,,,,,,,543
Bolero son,Bolero son,Son Cubano,Cuban Music,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,Bolero,,,,,,544
Boogie,Boogie,Disco,R&B,Dance,,,,,,,,,,545
Breakbeat Hardcore,Breakbeat Hardcore,Breakbeat,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,546
British Dance Band,British Danc3 Band,Jazz,Traditional Pop,Pop,British Music,European Music,Regional Music,,,,,,,547
British Rhythm & Blues,British Rhythm & Bl–es,R&B,Rock,Rhythm & Blues,,,,,,,,,,548
Britpop,Britpop,Pop Rock,Alternative Rock,Pop,Rock,Pop,Scenes & Movements,,,,,,,549
Brutal Prog,Brutal Prog,Experimental Rock,Progressive Rock,Rock,,,,,,,,,,550
Bubblegum Dance,Bubblegum Dance,Eurodance,EDM,Dance-Pop,Pop,Dance,Electronic,,,,,,,551
C86,C86,Indie Pop,Indie Rock,Alternative Rock,Pop,Rock,Pop,,,,,,,552
Caribbean Folk Music,Caribbean Folk Music,Caribbean Music,Traditional Folk,Folk,Regional Music,Folk,,,,,,,,553
Chanson à texte,Chanson à texte,Singer-Songwriter,Chanson,Regional Music,European Music,,,,,,,,,554
Christmas Music,Christmas Music,Holiday Music,Descriptor Genres,,,,,,,,,,,555
Comedy Rap,Comedy Rap,Musical Comedy,Hip Hop,Comedy,,,,,,,,,,556
Country Blues,C0untry Blues,American Folk Music,Traditional Folk,Acoustic Blues,Blues,Folk,Regional Music,,,,,,,557
Country Pop,Country Pop,Country,Pop,Northern American Music,Regional Music,,,,,,,,,558
Bro-Country,Bro-Country,Country Pop,Country,Pop,Northern American Music,Regional Music,,,,,,,,559
Country Rap,Country Rap,Hip Hop,,,,,,,,,,,,560
Cowpunk,Cowpunk,Punk Rock,Country Rock,Punk,Rock,,,,,,,,,561
Dabke,Dabke,Arabic Music,West Asian Music,Asian Music,Regional Music,,,,,,,,,562
Afrobeats,Afr0beats,Dance-Pop,Pop,,,,,,,,,,,563
Dance-Punk,Danc3-Punk,Post-Punk,Punk,,,,,,,,,,,564
Dark Ambient,Dark Ambient,Post-Industrial,Ambient,Industrial & Noise,,,,,,,,,,565
Darkside Hardcore,Darkside Hardcore,Breakbeat Hardcore,Breakbeat,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,566
Deconstructed Club,Deconstructed Club,EDM,Post-Industrial,Industrial & Noise,Dance,Electronic,,,,,,,,567
Delta Blues,Delta Blues,Country Blues,American Folk Music,Traditional Folk,Acoustic Blues,Blues,Regional Music,,,,,,,568
Digital Dancehall,Digital Danc3hall,Reggae,Jamaican Music,Caribbean Music,Dancehall,Regional Music,Reggae / Ska / Dancehall,,,,,,,569
Digital Hardcore,Digital Hardcore,Punk,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,570
Drill,Dr–ll,Trap,Hip Hop,,,,,,,,,,,571
Bop,B0p,Pop Rap,Drill,Gangsta Rap,Hardcore Hip Hop,Trap,Hip Hop,,,,,,,572
Drumstep,Drumstep,Drum and Bass,Brostep,Dubstep,EDM,Dance,Electronic,,,,,,,573
EBM,EBM,EDM,Post-Industrial,Industrial & Noise,Dance,Electronic,,,,,,,,574
Electro Swing,Electro Swing,Nu Jazz,EDM,Electronic,Dance,Electronic,,,,,,,,575
Electro-Disco,Electro-Disco,EDM,Dance,Disco,Electronic,,,,,,,,,576
Electro-Industrial,Electro-Industrial,Post-Industrial,Electronic,Industrial & Noise,,,,,,,,,,577
Electroacoustic,Electroacoustic,Electronic,Experimental,,,,,,,,,,,578
Electropop,Electropop,Electronic,Pop,,,,,,,,,,,579
Emocore,Emocore,Post-Hardcore,Punk,Hardcore [Punk],Rock,Emo,,,,,,,,580
Entechna,Entechna,Balkan Music,Regional Music,European Music,Greek Music,,,,,,,,,581
Experimental Big Band,Exp–rimental Big Band,Avant-Garde Jazz,Big Band,Jazz,,,,,,,,,,582
Flamenco Pop,Fl–menco Pop,Spanish Music,Hispanic Music,Regional Music,European Music,Pop,,,,,,,,583
Folk Pop,Folk Pop,Contemporary Folk,Folk,Pop,,,,,,,,,,584
Freak Folk,Freak Folk,Psychedelic Folk,Contemporary Folk,Folk,Psych,,,,,,,,,585
Freakbeat,Freakbeat,Beat Music,Pop Rock,Garage Rock,Pop,Rock,,,,,,,,586
Free Folk,Free Folk,Psychedelic Folk,Contemporary Folk,Folk,Psych,,,,,,,,,587
Freestyle,Freestyle,EDM,Dance-Pop,Pop,Dance,Electronic,,,,,,,,588
Futurepop,Futurepop,Synthpop,EBM,EDM,Post-Industrial,Electronic,Industrial & Noise,Pop,Dance,Electronic,,,,589
Garage Punk,Garage Punk,Garage Rock,Punk Rock,Punk,Rock,,,,,,,,,590
Glitch,Gl–tch,Electronic,Experimental,,,,,,,,,,,591
Glitch Pop,Glitch Pop,Electronic,Pop,Indietronica,,,,,,,,,,592
Gospel,Gospel,Top-level,,,,,,,,,,,,593
Gothic Rock,Gothic Rock,Post-Punk,Rock,Punk,,,,,,,,,,594
Halloween Music,Halloween Music,Holiday Music,Descriptor Genres,,,,,,,,,,,595
Hardcore Breaks,Hardcore Breaks,Breakbeat Hardcore,Breakbeat,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,596
Heavy Psych,Heavy Psych,Hard Rock,Psychedelic Rock,Psych,Rock,,,,,,,,,597
Hi-NRG,Hi-NRG,Electro-Disco,EDM,Dance,Disco,Electronic,,,,,,,,598
Hiplife,Hiplife,Highlife,West African Music,Hip Hop,African Music,Regional Music,,,,,,,,599
Hyperpop,Hyperpop,Electronic,Pop,,,,,,,,,,,600
Indeterminacy,Indeterminacy,Experimental,Modern Classical,Classical,,,,,,,,,,601
Indian Pop,Indian Pop,South Asian Music,Pop,Asian Music,Regional Music,,,,,,,,,602
Industrial,Ind–strial,Industrial & Noise,Experimental,,,,,,,,,,,603
Industrial Metal,Industrial Metal,Post-Industrial,Metal,Industrial & Noise,Rock,,,,,,,,,604
Industrial Rock,Industrial Rock,Post-Industrial,Industrial & Noise,Rock,,,,,,,,,,605
Industrial Techno,Industrial Techno,Post-Industrial,EDM,Techno,Industrial & Noise,Dance,Electronic,,,,,,,606
Italo Dance,Italo Dance,Eurodance,EDM,Dance-Pop,Pop,Dance,Electronic,,,,,,,607
Italo-Disco,Italo-Disco,Electro-Disco,EDM,Dance,Disco,Dance,Electronic,,,,,,,608
Eurobeat,Eurobeat,Italo-Disco,Electro-Disco,EDM,Dance,Disco,Electronic,,,,,,,609
Jamaican Ska,Jamaican Ska,Jamaican Music,Caribbean Music,Ska,Regional Music,Reggae / Ska / Dancehall,,,,,,,,610
Jangle Pop,Jangle Pop,Pop Rock,Alternative Rock,Pop,Rock,,,,,,,,,611
Jazz Poetry,Jazz Poetry,Spoken Word,Poetry,Jazz,Descriptor Genres,,,,,,,,,612
Jazz-Funk,Jazz-Funk,R&B,Funk,Jazz,,,,,,,,,,613
Junkanoo,Junkanoo,Caribbean Folk Music,Caribbean Music,Traditional Folk,Folk,Regional Music,,,,,,,,614
Krautrock,Krautrock,Progressive Rock,Experimental Rock,Rock,,,,,,,,,,615
Kwaito,Kwaito,House,EDM,Southern African Music,African Music,Regional Music,Dance,Electronic,,,,,,616
Latin Disco,Latin Disco,Dance,Hispanic American Music,Hispanic Music,Regional Music,Disco,,,,,,,,617
Latin Electronic,Latin Electronic,Hispanic American Music,Hispanic Music,Regional Music,Electronic,,,,,,,,,618
Latin Funk,Latin Funk,R&B,Hispanic American Music,Hispanic Music,Regional Music,Funk,,,,,,,,619
Latin Jazz,Latin Jazz,Hispanic American Music,Hispanic Music,Regional Music,Jazz,,,,,,,,,620
Afro-Cuban Jazz,Afro-Cuban Jazz,Latin Jazz,Hispanic American Music,Hispanic Music,Jazz,Regional Music,,,,,,,,621
Latin Pop,Latin Pop,Hispanic American Music,Hispanic Music,Regional Music,Pop,,,,,,,,,622
Latin Rock,Latin Rock,Hispanic American Music,Hispanic Music,Regional Music,Rock,,,,,,,,,623
Merseybeat,Merseybeat,Beat Music,Pop Rock,Pop,Rock,Scenes & Movements,,,,,,,,624
Metalcore,Metalcore,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],Metal,Rock,,,,,,625
Mathcore,Mathcore,Metalcore,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],Metal,Rock,,,,,626
Hispanic American Folk Music,Hispanic American Folk Music,Traditional Folk,Folk,Regional Music,Hispanic American Music,Hispanic Music,,,,,,,,627
Mexican Folk Music,Mexican Folk Music,Traditional Folk,Folk,Regional Music,Mexican Music,Hispanic American Music,Hispanic Music,Hispanic American Folk Music,,,,,,628
Micromontage,Micromontage,Sound Collage,Experimental,Electronic,,,,,,,,,,629
Midwest Emo,Midwest Emo,Indie Rock,Alternative Rock,Punk,Emo,Rock,,,,,,,,630
Motown Sound,Motown Sound,Pop Soul,R&B,Soul,Pop,,,,,,,,,631
Murga,Murga,Hispanic Music,Musical Theatre,Regional Music,Regional Music,,,,,,,,,632
Musique concrète,Musique concrète,Electroacoustic,Electronic,Experimental,,,,,,,,,,633
Nashville Sound,Nashville Sound,Country Pop,Country,Pop,Northern American Music,Regional Music,,,,,,,,634
Nederbeat,Nederbeat,Beat Music,Pop Rock,Pop,Rock,Scenes & Movements,,,,,,,,635
New Romantic,New Romantic,New Wave,Rock,Pop,Scenes & Movements,,,,,,,,,636
No Wave,No Wave,Post-Punk,Experimental Rock,Punk,Scenes & Movements,,,,,,,,,637
Nu-Disco,Nu-Disco,EDM,Dance,Disco,Electronic,,,,,,,,,638
Future Funk,Future F–nk,Vapor,House,EDM,Electronic,Dance,Electronic,,,,,,,639
Nueva canción,Nueva canción,Contemporary Folk,Folk,Singer-Songwriter,Hispanic Music,Regional Music,,,,,,,,640
Nueva canción española,Nueva canción española,Contemporary Folk,Folk,Singer-Songwriter,Spanish Music,Hispanic Music,Regional Music,European Music,Nueva canción,,,,,641
Nueva canción latinoamericana,Nueva canción latinoam–ricana,Contemporary Folk,Folk,Singer-Songwriter,Hispanic American Music,Hispanic Music,Regional Music,Nueva canción,,,,,,642
Nueva trova,Nueva trova,Nueva canción latinoamericana,Contemporary Folk,Folk,Singer-Songwriter,Hispanic American Music,Hispanic Music,Regional Music,Nueva canción,Trova,Cuban Music,Caribbean Music,,643
Piano Rock,Piano Rock,Pop Rock,Pop,Rock,,,,,,,,,,644
Piedmont Blues,Pi3dmont Blues,Country Blues,American Folk Music,Traditional Folk,Acoustic Blues,Blues,Regional Music,,,,,,,645
Pop Raï,Pop Raï,Arabic Music,North African Music,African Music,Pop,Regional Music,,,,,,,,646
Post-Punk Revival,Post-Punk Revival,Indie Rock,Alternative Rock,Post-Punk,Punk,Rock,,,,,,,,647
Power Electronics,Power Electronics,Industrial,Industrial & Noise,Experimental,,,,,,,,,,648
Death Industrial,Death Ind–strial,Power Electronics,Industrial,Industrial & Noise,Experimental,Experimental,,,,,,,,649
Power Pop,Power Pop,Pop Rock,Pop,Rock,,,,,,,,,,650
Progressive Breaks,Progressive Breaks,Progressive House,Breakbeat,EDM,House,Dance,Electronic,,,,,,,651
Psychedelic Pop,Psychedelic Pop,Pop,Psych,,,,,,,,,,,652
Psychedelic Soul,Psychedelic Soul,R&B,Psych,Soul,,,,,,,,,,653
Psychobilly,Psychobilly,Rockabilly,Rock & Roll,Punk Rock,Punk,Rock,,,,,,,,654
Folk Punk,F0lk Punk,Punk Rock,Punk,,,,,,,,,,,655
Celtic Punk,Celtic Punk,Folk Punk,Punk Rock,Rock,Punk,,,,,,,,,656
Gypsy Punk,Gypsy Punk,Folk Punk,Punk Rock,Punk,,,,,,,,,,657
Horror Punk,Horror Punk,Punk Rock,Punk,,,,,,,,,,,658
Ragtime,Ragtime,American Folk Music,Traditional Folk,Folk,Regional Music,,,,,,,,,659
Rock Opera,Rock 0pera,Rock,Descriptor Genres,,,,,,,,,,,660
Romanian Popcorn,Romanian Popcorn,EDM,Dance-Pop,Pop,Dance,Electronic,,,,,,,,661
Samba Soul,Samba Soul,R&B,Brazilian Music,Samba,Soul,South American Music,Regional Music,,,,,,,662
Screamo,Screamo,Emo,Punk,Post-Hardcore,Hardcore [Punk],Rock,,,,,,,,663
Emoviolence,Emoviolence,Powerviolence,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],Screamo,Emo,Post-Hardcore,,,,664
Singeli,Singeli,EDM,East African Music,African Music,Regional Music,Dance,Electronic,,,,,,,665
Ska Punk,Ska Punk,Third Wave Ska,Punk Rock,Punk,Ska,Reggae / Ska / Dancehall,,,,,,,,666
Soft Rock,Soft Rock,Pop Rock,Pop,Rock,Pop,,,,,,,,,667
South Asian Classical Music,South Asian Classical Music,South Asian Music,Classical,Asian Music,Regional Music,,,,,,,,,668
Hindustani Classical Music,Hindustani Classical Music,South Asian Classical Music,South Asian Music,Classical,Asian Music,Regional Music,,,,,,,,669
Southeast Asian Folk Music,Southeast Asian Folk Music,Traditional Folk,Southeast Asian Music,Folk,Asian Music,Regional Music,,,,,,,,670
Space Disco,Space Disco,Electro-Disco,EDM,Dance,Disco,Electronic,,,,,,,,671
Space Rock,Space Rock,Psychedelic Rock,Psych,Rock,,,,,,,,,,672
Spanish Folk Music,Spanish Folk Music,Traditional Folk,Folk,Regional Music,European Folk Music,European Music,Spanish Music,Hispanic Music,,,,,,673
Spirituals,Spirituals,American Folk Music,Traditional Folk,Folk,Regional Music,,,,,,,,,674
Surf Punk,Surf Punk,Punk Rock,Surf Music,Rock,Punk,,,,,,,,,675
Synth Punk,Synth Punk,Electronic,Punk,,,,,,,,,,,676
Tech House,Tech House,EDM,House,Dance,Electronic,,,,,,,,,677
