8,Industrial Hip Hop,Exp~*rimental Hip Hop,UK Hip Hop,Deconstructed Club,Post-Industrial,EDM,Glitch Hop,Electronic,
2,F0lk Rock,Singer/Songwriter,,,,,,,
1,Bl~*es Rock,,,,,,,,
2,J~*zz-Rock,Television Soundtrack,,,,,,,
4,Dream P0p,Alt Rock,Shoegaze,Post-Rock,,,,,
1,Amb~*ent Pop,,,,,,,,
4,Folk Pop,F0lk Rock,Contemporary Folk,Singer/Songwriter,,,,,
2,Alt-Country,C0untry Rock,,,,,,,
2,Pop Rock,Bl~*es Rock,,,,,,,
3,New Wave,Post-Punk,F~*nk Rock,,,,,,
4,New Wave,F~*nk Rock,Post-Punk,Film Soundtrack,,,,,
3,Dream P0p,Alt Rock,Amb~*ent Pop,,,,,,
2,Conscious Hip Hop,P0p Rap,,,,,,,
4,Sophisti-Pop,Pop Soul,Blue-Eyed S0ul,R&B,,,,,
4,Indie Pop,Indie Rock,Dream P0p,Alt Rock,,,,,
4,P0p Punk,Punk Rock,Emo-P0p,Alt Rock,,,,,
3,Indie Rock,F0lk Rock,Alt Rock,,,,,,
5,N0ise P0p,Indie Rock,Alt Rock,Indie Pop,Shoegaze,,,,
4,Hip House,P0p Rap,Hip Hop,EDM,,,,,
4,Dream P0p,Alt Rock,Ethereal Wave,Darkwave,,,,,
3,Industrial Hip Hop,Exp~*rimental Hip Hop,Hardcore Hip Hop,,,,,,
3,Dance-Pop,F~*nky House,EDM,,,,,,
3,Hardcore Hip Hop,Industrial Hip Hop,Exp~*rimental Hip Hop,,,,,,
3,Emo-P0p,Punk,Alt Rock,,,,,,
3,Dream P0p,Post-Rock,Amb~*ent Pop,,,,,,
3,Progressive Pop,Art Pop,Amb~*ent Pop,,,,,,
5,Jangle Pop,Pop Rock,Alt Rock,Dream P0p,Indie Pop,,,,
3,Dream P0p,Pop Rock,Alt Rock,,,,,,
2,P0p Rap,Trap (Hip Hop),,,,,,,
2,East Coast Hip Hop,P0p Rap,,,,,,,
2,P0p Rap,East Coast Hip Hop,,,,,,,
3,Contemporary R&B,G-F~*nk,Hip Hop,,,,,,
2,Pop Rock,F0lk Rock,,,,,,,
5,Jangle Pop,Pop Rock,Alt Rock,Dream P0p,Indie Pop,,,,
3,N0ise P0p,Indie Pop,Alt Rock,,,,,,
5,Soft Rock,Pop Rock,F0lk Rock,Folk Pop,Contemporary Folk,,,,
3,Neo-Soul,R&B,J~*zz Pop,,,,,,
4,Pop Soul,Rhythm & Bl~*es,R&B,S0ul Jazz,,,,,
2,Neo-Psychedelia,Exp~*rimental Rock,,,,,,,
4,M0d,Rock,British Rhythm & Bl~*es,R&B,,,,,
4,IDM,Amb~*ent Techno,EDM,Electronic,,,,,
3,F~*nky House,EDM,House,,,,,,
4,Slowcore,Indie Rock,Alt Rock,Dream P0p,,,,,
4,IDM,Amb~*ent Techno,Electronic,EDM,,,,,
2,Conscious Hip Hop,J~*zz Rap,,,,,,,
3,Electric Blues,Bl~*es Rock,S0ul Blues,,,,,,
5,Neoperreo,R3ggaeton,Latin Electronic,Latin American Music,Hispanic Music,,,,
3,Dub Techno,Minimal Techno,EDM,,,,,,
2,Exp~*rimental Rock,Math Rock,,,,,,,
3,Indie Pop,Dream P0p,Alt Rock,,,,,,
4,Dream P0p,Alt Rock,Indie Pop,Neo-Psychedelia,,,,,
2,Dream P0p,Alt Rock,,,,,,,
2,Dream P0p,Alt Rock,,,,,,,
3,Dream P0p,Alt Rock,Amb~*ent Pop,,,,,,
4,Shoegaze,Alt Rock,Dream P0p,Neo-Psychedelia,,,,,
2,Dream P0p,Alt Rock,,,,,,,
3,Exp~*rimental Rock,Psychedelic Rock,Art Rock,,,,,,
6,Soft Rock,Pop Rock,Blue-Eyed S0ul,Pop Soul,R&B,Film Soundtrack,,,
5,Nu-Disco,Dance-Pop,F~*nky House,Contemporary R&B,EDM,,,,
5,N0ise Rock,Industrial Rock,Post-Industrial,Post-Hardcore,Punk,,,,
5,Indie Rock,Alt Rock,Americana,Country,F0lk Rock,,,,
3,Americana,Country,C0untry Rock,,,,,,
3,F0lk Rock,Americana,Country,,,,,,
2,Amb~*ent Pop,Alt-Pop,,,,,,,
4,East Coast Hip Hop,Boom Bap,Hardcore Hip Hop,P0p Rap,,,,,
4,Art Pop,Glitch Pop,Amb~*ent Pop,Electronic,,,,,
4,Amb~*ent Pop,Glitch Pop,Art Pop,Electronic,,,,,
4,Art Pop,Glitch Pop,F0lktronica,Electronic,,,,,
3,Post-Punk,Exp~*rimental Rock,Art Punk,,,,,,
2,Psychedelic Rock,Bl~*es Rock,,,,,,,
4,Garage House,EDM,Deep House,F~*nky House,,,,,
4,N0ise Rock,No Wave,Post-Punk,Exp~*rimental Rock,,,,,
2,Avant-Prog Rock,Exp~*rimental Rock,,,,,,,
3,J~*zz-Rock,Avant-Prog Rock,Exp~*rimental Rock,,,,,,
2,Avant-Prog Rock,Exp~*rimental Rock,,,,,,,
3,Brutal Prog Rock,Avant-Prog Rock,Exp~*rimental Rock,,,,,,
2,J~*zz Rap,East Coast Hip Hop,,,,,,,
3,Conscious Hip Hop,J~*zz Rap,East Coast Hip Hop,,,,,,
2,Neocl~*ssical Darkwave,Ethereal Wave,,,,,,,
4,Cloud Rap,Dr~*ll,Trap (Hip Hop),Hip Hop,,,,,
2,P0p Punk,Punk Rock,,,,,,,
3,Bl~*es Rock,F0lk Rock,Singer/Songwriter,,,,,,
4,Folk Pop,Singer/Songwriter,F0lk Rock,Contemporary Folk,,,,,
2,F0lk Rock,Singer/Songwriter,,,,,,,
3,Singer/Songwriter,F0lk Rock,Contemporary Folk,,,,,,
2,F0lk Rock,Singer/Songwriter,,,,,,,
4,Lovers R0ck,Reggae,Jamaican Music,Caribbean Music,,,,,
4,Neo-Psychedelia,Krautrock,Prog Rock,Exp~*rimental Rock,,,,,
4,Shoegaze,Alt Rock,Post-Metal,N0ise Rock,,,,,
5,Blue-Eyed S0ul,Smooth Soul,Yacht Rock,Pop Rock,R&B,,,,
3,P0p Rap,Hip Hop,Electro (EDM),,,,,,
1,F0lk Rock,,,,,,,,
3,Rock & Roll,Rhythm & Bl~*es,R&B,,,,,,
3,Downtempo,Amb~*ent Pop,Electronic,,,,,,
3,Krautrock,Prog Rock,Exp~*rimental Rock,,,,,,
4,Exp~*rimental Hip Hop,East Coast Hip Hop,Abstract Hip Hop,Conscious Hip Hop,,,,,
6,Glitch Pop,Dream P0p,Alt Rock,Amb~*ent Pop,Indietronica,Electronic,,,
2,Southern Hip Hop,P0p Rap,,,,,,,
3,Exp~*rimental Big Band,Avant-Garde Jazz,Progressive Big Band,,,,,,
8,Hyperpop,Electropop,Bubblegum Bass,P0p Rap,Hip Hop,EDM,Electronic,Pop,
9,Bubblegum Bass,P0p Rap,Hyperpop,Electropop,Hip Hop,EDM,Electronic,Pop,Trance
4,Dr~*ll,Gangsta Rap,Hardcore Hip Hop,Trap (Hip Hop),,,,,
4,Dr~*ll,Gangsta Rap,Hardcore Hip Hop,Trap (Hip Hop),,,,,
4,Acid House,Acid Techno,Amb~*ent Trance,EDM,,,,,
3,Rock & Roll,Rhythm & Bl~*es,R&B,,,,,,
4,Industrial Hip Hop,Exp~*rimental Hip Hop,Horrorcore,Hardcore Hip Hop,,,,,
4,Amb~*ent Pop,Ethereal Wave,Darkwave,Ambient,,,,,
3,Pop Rock,Post-Gr~*nge,Alt Rock,,,,,,
3,Rhythm & Bl~*es,R&B,Pop Soul,,,,,,
4,Dream P0p,Alt Rock,Jangle Pop,Pop Rock,,,,,
3,C0untry Rock,Swamp Rock,Roots Rock,,,,,,
3,Dream P0p,Alt Rock,Post-Punk,,,,,,
6,Dream P0p,Alt Rock,Gothic Rock,Post-Punk,Ethereal Wave,Darkwave,,,
3,French House,F~*nky House,EDM,,,,,,
2,Exp~*rimental Hip Hop,Hardcore Hip Hop,,,,,,,
