Pure Tag,Edited Version (if appl.) –,I. Parents,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Latin Disco,Latin Disco,Disco; Hispanic American Music,Dance,Hispanic American Music,Hispanic Music,Regional Music,Disco,,,,,,,
Latin Electronic,Latin Electronic,Electronic; Hispanic American Music,Hispanic American Music,Hispanic Music,Regional Music,Electronic,,,,,,,,
Latin Funk,Latin Funk,Funk; Hispanic American Music,R&B,Hispanic American Music,Hispanic Music,Regional Music,Funk,,,,,,,
Latin Jazz,Latin Jazz,Jazz; Hispanic American Music,Hispanic American Music,Hispanic Music,Regional Music,Jazz,,,,,,,,
Afro-Cuban Jazz,Afro-Cuban Jazz,Latin Jazz,Latin Jazz,Hispanic American Music,Hispanic Music,Jazz,Regional Music,,,,,,,
Latin Pop,Latin Pop,Pop; Hispanic American Music,Hispanic American Music,Hispanic Music,Regional Music,Pop,,,,,,,,
Latin Rock,Latin Rock,Rock; Hispanic American Music,Hispanic American Music,Hispanic Music,Regional Music,Rock,,,,,,,,
Merseybeat,Merseybeat,Beat Music; Scenes & Movements,Beat Music,Pop Rock,Pop,Rock,Scenes & Movements,,,,,,,
Metalcore,Metalcore,Metal; Hardcore [Punk],Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],Metal,Rock,,,,,
Mathcore,Mathcore,Metalcore,Metalcore,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],Metal,Rock,,,,
Hispanic American Folk Music,Hispanic American Folk Music,Traditional Folk; Hispanic American Music,Traditional Folk,Folk,Regional Music,Hispanic American Music,Hispanic Music,,,,,,,
Mexican Folk Music,Mexican Folk Music,Mexican Music; Hispanic American Music,Traditional Folk,Folk,Regional Music,Mexican Music,Hispanic American Music,Hispanic Music,Hispanic American Folk Music,,,,,
Micromontage,Micromontage,Sound Collage; Electronic,Sound Collage,Experimental,Electronic,,,,,,,,,
Midwest Emo,Midwest Emo,Indie Rock; Emo,Indie Rock,Alternative Rock,Punk,Emo,Rock,,,,,,,
Motown Sound,Motown Sound,Pop Soul; Pop,Pop Soul,R&B,Soul,Pop,,,,,,,,
Murga,Murga,Hispanic Music; Musical Theatre,Hispanic Music,Musical Theatre,Regional Music,Regional Music,,,,,,,,
Musique concrète,Musique concrète,Electroacoustic,Electroacoustic,Electronic,Experimental,,,,,,,,,
Nashville Sound,Nashville Sound,Country Pop,Country Pop,Country,Pop,Northern American Music,Regional Music,,,,,,,
Nederbeat,Nederbeat,Beat Music; Scenes & Movements,Beat Music,Pop Rock,Pop,Rock,Scenes & Movements,,,,,,,
New Romantic,New Romantic,New Wave; Pop; Scenes & Movements,New Wave,Rock,Pop,Scenes & Movements,,,,,,,,
No Wave,No Wave,Post-Punk; Experimental Rock; Scenes & Movements,Post-Punk,Experimental Rock,Punk,Scenes & Movements,,,,,,,,
Nu-Disco,Nu-Disco,EDM; Disco,EDM,Dance,Disco,Electronic,,,,,,,,
Future Funk,Future F–nk,Vapor; House; Dance,Vapor,House,EDM,Electronic,Dance,Electronic,,,,,,
Nueva canción,Nueva canción,Singer-Songwriter; Hispanic Music,Contemporary Folk,Folk,Singer-Songwriter,Hispanic Music,Regional Music,,,,,,,
Nueva canción española,Nueva canción española,Nueva canción; Spanish Music,Contemporary Folk,Folk,Singer-Songwriter,Spanish Music,Hispanic Music,Regional Music,European Music,Nueva canción,,,,
Nueva canción latinoamericana,Nueva canción latinoam–ricana,Nueva canción; Hispanic American Music,Contemporary Folk,Folk,Singer-Songwriter,Hispanic American Music,Hispanic Music,Regional Music,Nueva canción,,,,,
Nueva trova,Nueva trova,Trova; Nueva canción latinoamericana,Nueva canción latinoamericana,Contemporary Folk,Folk,Singer-Songwriter,Hispanic American Music,Hispanic Music,Regional Music,Nueva canción,Trova,Cuban Music,Caribbean Music,
Piano Rock,Piano Rock,Pop Rock,Pop Rock,Pop,Rock,,,,,,,,,
Piedmont Blues,Pi3dmont Blues,Country Blues,Country Blues,American Folk Music,Traditional Folk,Acoustic Blues,Blues,Regional Music,,,,,,
Pop Raï,Pop Raï,Arabic Music; North African Music; Pop,Arabic Music,North African Music,African Music,Pop,Regional Music,,,,,,,
Post-Punk Revival,Post-Punk Revival,Indie Rock; Post-Punk,Indie Rock,Alternative Rock,Post-Punk,Punk,Rock,,,,,,,
Power Electronics,Power Electronics,Industrial,Industrial,Industrial & Noise,Experimental,,,,,,,,,
Death Industrial,Death Ind–strial,Power Electronics,Power Electronics,Industrial,Industrial & Noise,Experimental,Experimental,,,,,,,
Power Pop,Power Pop,Pop Rock,Pop Rock,Pop,Rock,,,,,,,,,
Progressive Breaks,Progressive Breaks,Progressive House; Breakbeat,Progressive House,Breakbeat,EDM,House,Dance,Electronic,,,,,,
Psychedelic Pop,Psychedelic Pop,Pop; Psych,Pop,Psych,,,,,,,,,,
Psychedelic Soul,Psychedelic Soul,Psych; Soul,R&B,Psych,Soul,,,,,,,,,
Psychobilly,Psychobilly,Rockabilly; Punk Rock,Rockabilly,Rock & Roll,Punk Rock,Punk,Rock,,,,,,,
Folk Punk,F0lk Punk,Punk Rock,Punk Rock,Punk,,,,,,,,,,
Celtic Punk,Celtic Punk,Folk Punk; Punk Rock,Folk Punk,Punk Rock,Rock,Punk,,,,,,,,
Gypsy Punk,Gypsy Punk,Folk Punk,Folk Punk,Punk Rock,Punk,,,,,,,,,
Horror Punk,Horror Punk,Punk Rock,Punk Rock,Punk,,,,,,,,,,
Ragtime,Ragtime,American Folk Music,American Folk Music,Traditional Folk,Folk,Regional Music,,,,,,,,
Rock Opera,Rock 0pera,Rock; Descriptor Genres,Rock,Descriptor Genres,,,,,,,,,,
Romanian Popcorn,Romanian Popcorn,EDM; Dance-Pop,EDM,Dance-Pop,Pop,Dance,Electronic,,,,,,,
Samba Soul,Samba Soul,Samba; Soul,R&B,Brazilian Music,Samba,Soul,South American Music,Regional Music,,,,,,
Screamo,Screamo,Post-Hardcore; Emo,Emo,Punk,Post-Hardcore,Hardcore [Punk],Rock,,,,,,,
Emoviolence,Emoviolence,Screamo,Powerviolence,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],Screamo,Emo,Post-Hardcore,,,
Singeli,Singeli,EDM; East African Music,EDM,East African Music,African Music,Regional Music,Dance,Electronic,,,,,,
Ska Punk,Ska Punk,Third Wave Ska; Punk Rock,Third Wave Ska,Punk Rock,Punk,Ska,Reggae / Ska / Dancehall,,,,,,,
Soft Rock,Soft Rock,Pop Rock,Pop Rock,Pop,Rock,Pop,,,,,,,,
South Asian Classical Music,South Asian Classical Music,South Asian Music; Classical,South Asian Music,Classical,Asian Music,Regional Music,,,,,,,,
Hindustani Classical Music,Hindustani Classical Music,South Asian Classical Music,South Asian Classical Music,South Asian Music,Classical,Asian Music,Regional Music,,,,,,,
Southeast Asian Folk Music,Southeast Asian Folk Music,Traditional Folk; Southeast Asian Music,Traditional Folk,Southeast Asian Music,Folk,Asian Music,Regional Music,,,,,,,
Space Disco,Space Disco,Electro-Disco,Electro-Disco,EDM,Dance,Disco,Electronic,,,,,,,
Space Rock,Space Rock,Psychedelic Rock,Psychedelic Rock,Psych,Rock,,,,,,,,,
Spanish Folk Music,Spanish Folk Music,European Folk Music; Spanish Music,Traditional Folk,Folk,Regional Music,European Folk Music,European Music,Spanish Music,Hispanic Music,,,,,
Spirituals,Spirituals,American Folk Music,American Folk Music,Traditional Folk,Folk,Regional Music,,,,,,,,
Surf Punk,Surf Punk,Punk Rock; Surf Music,Punk Rock,Surf Music,Rock,Punk,,,,,,,,
Synth Punk,Synth Punk,Electronic; Punk,Electronic,Punk,,,,,,,,,,
Tech House,Tech House,House,EDM,House,Dance,Electronic,,,,,,,,
Traditional Black Gospel,Traditional Black Gospel,American Folk Music; Gospel,American Folk Music,Traditional Folk,Gospel,Folk,Northern American Music,Regional Music,,,,,,
Traditional Country,Traditional Country,American Folk Music; Country,American Folk Music,Traditional Folk,Folk,Country,Northern American Music,Regional Music,,,,,,
Country Boogie,Country B00gie,Traditional Country,Traditional Country,American Folk Music,Traditional Folk,Folk,Country,Northern American Music,Regional Music,,,,,
Country Gospel,Country Gospel,Traditional Country; Gospel,Traditional Country,American Folk Music,Traditional Folk,Gospel,Folk,Country,Northern American Music,Regional Music,,,,
Close Harmony,Close Harmony,Traditional Country,Traditional Country,American Folk Music,Traditional Folk,Folk,Country,Northern American Music,Regional Music,,,,,
Cowboy,Cowboy,Traditional Country,Traditional Country,American Folk Music,Traditional Folk,Folk,Country,Regional Music,,,,,,
Acoustic Texas Blues,Acoustic Texas Blues,Country Blues,Country Blues,American Folk Music,Traditional Folk,Acoustic Blues,Folk,Blues,Regional Music,,,,,
Molam,Molam,Southeast Asian Folk Music,Traditional Folk,Southeast Asian Folk Music,Southeast Asian Music,Folk,Asian Music,Regional Music,,,,,,
Trap Metal,Trap M3tal,Trap; Hardcore Hip Hop,Trap,Hardcore Hip Hop,Hip Hop,,,,,,,,,
UK Drill,UK Dr–ll,Gangsta Rap; Drill,Gangsta Rap,Hardcore Hip Hop,Trap,Drill,Hip Hop,,,,,,,
Flamenco,Flamenco,Spanish Music,Traditional Folk,Folk,Regional Music,Spanish Folk Music,European Folk Music,Spanish Music,Hispanic Music,European Music,,,,
Flamenco nuevo,Flamenco nuevo,Flamenco,Traditional Folk,Folk,Regional Music,Spanish Folk Music,European Folk Music,Spanish Music,Hispanic Music,European Music,Flamenco,,,
Vocal Surf,Vocal Surf,Pop Rock; Surf Music,Pop Rock,Surf Music,Pop,Rock,,,,,,,,
Yacht Rock,Yacht Rock,Soft Rock,Soft Rock,Pop Rock,Pop,Rock,,,,,,,,
Work Songs,Work Songs,Traditional Folk,Traditional Folk,Folk,Regional Music,,,,,,,,,
Boogie Woogie,B00gie Woogie,Northern American Music,Northern American Music,Regional Music,,,,,,,,,,
Armenian Music,Armenian Music,West Asian Music,West Asian Music,Asian Music,Regional Music,,,,,,,,,
Skate Punk,Sk–te Punk,Punk Rock,Punk Rock,Rock,Punk,,,,,,,,,
Countrypolitan,Countrypolitan,Nashville Sound,Nashville Sound,Country Pop,Country,Pop,Northern American Music,Regional Music,,,,,,
Idol kayō,Idol kayō,Kayōkyoku,Kayōkyoku,Japanese Music,East Asian Music,Asian Music,Regional Music,,,,,,,
Chipmunk Soul,Chipmunk S0ul,Hip Hop,Hip Hop,,,,,,,,,,,
Latin Soul,Latin Soul,Soul; Hispanic American Music,Soul,R&B,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,
Plugg,Plugg,Trap,Trap,Hip Hop,,,,,,,,,,
PluggnB,PluggnB,Plugg,Plugg,Trap,Hip Hop,,,,,,,,,
Festival Progressive House,Festival Pr0gressive House,House,House,EDM,Dance,Electronic,,,,,,,,
Utopian Virtual,Utopian Virtual,Vapor,Vapor,Electronic,,,,,,,,,,
Britfunk,Britfunk,Funk,Funk,R&B,,,,,,,,,,
Epic Music,Epic Music,Cinematic Classical,Cinematic Classical,Classical,,,,,,,,,,
Brazilian Bass,Brazilian Bass,House,House,EDM,Dance,Electronic,,,,,,,,
Slap House,Slap House,Brazilian Bass,Brazilian Bass,House,EDM,Dance,Electronic,,,,,,,
Flamenco Jazz,Flamenco Jazz,Jazz; Flamenco nuevo,Jazz,Flamenco nuevo,Traditional Folk,Folk,Regional Music,Spanish Folk Music,European Folk Music,European Music,Spanish Music,Hispanic Music,Flamenco,
Power Noise,Power Noise,Noise; Post-Industrial,Noise,Experimental,Post-Industrial,Industrial & Noise,,,,,,,,
Medieval Classical Music,Medieval Classical Music,Western Classical; European Music,Western Classical,Classical,European Music,Regional Music,,,,,,,,
Christian Liturgical Music,Christian Liturgical Music,Regional Music,Regional Music,,,,,,,,,,,
Plainsong,Plainsong,Medieval Classical Music; Christian Liturgical Music,Medieval Classical Music,Western Classical,Classical,European Music,Regional Music,Christian Liturgical Music,,,,,,
Gregorian Chant,Gregorian Chant,Plainsong,Plainsong,Medieval Classical Music,Western Classical,Classical,European Music,Regional Music,Christian Liturgical Music,,,,,
Latin House,Latin House,House,House,EDM,Dance,Electronic,,,,,,,,
Truck Driving Country,Truck Driving Country,Honky Tonk,Honky Tonk,Country,Northern American Music,Regional Music,,,,,,,,
Bakersfield Sound,Bakersfield Sound,Honky Tonk,Honky Tonk,Country,Northern American Music,Regional Music,,,,,,,,
Afro-Jazz,Afro-Jazz,Jazz; African Music,Jazz,African Music,Regional Music,,,,,,,,,
New Rave,New Rave,Alternative Dance; Indie Rock,Alternative Dance,Alternative Rock,Rock,Dance,Indie Rock,,,,,,,
J-Rock,J-Rock,Alternative Rock,Alternative Rock,Rock,,,,,,,,,,
Happy Hardcore,Happy Hardcore,Hardcore [EDM],Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,
Hard Dance,Hard Dance,EDM,EDM,Dance,Electronic,,,,,,,,,
UK Hardcore,UK Hardcore,Happy Hardcore; Hard Dance,Happy Hardcore,Hardcore [EDM],EDM,Hard Dance,Dance,Electronic,,,,,,
Brazilian Classical Music,Brazilian Classical Music,Brazilian Music; Western Classical,Brazilian Music,South American Music,Regional Music,Western Classical,Classical,,,,,,,
Flashcore,Flashcore,Electronic,Electronic,,,,,,,,,,,
Tropical Rock,Tropical Rock,Soft Rock,Soft Rock,Pop Rock,Pop,Rock,,,,,,,,
Classical Crossover,Cl–ssical Crossover,Pop,Pop,,,,,,,,,,,
Drumless,Drumless,Hip Hop,Hip Hop,,,,,,,,,,,
Glam Metal,Glam M3tal,Hard Rock,Hard Rock,Rock,,,,,,,,,,
Classical March,Classical March,Western Classical,Western Classical,Classical,,,,,,,,,,
Modern Creative,Modern Creative,Experimental,Experimental,,,,,,,,,,,
Chopped and Screwed,Chopped and Screwed,Hip Hop,Hip Hop,,,,,,,,,,,
New Music,New Music,Pop,Pop,,,,,,,,,,,
Salsa,Salsa,Hispanic American Music,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,
Salsa dura,Salsa dura,Salsa,Salsa,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,
Descarga,Descarga,Cuban Music,Cuban Music,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,,,,,,,
Zolo,Zolo,Rock,Rock,,,,,,,,,,,
Marabi,Marabi,Southern African Music; Jazz,Southern African Music,African Music,Regional Music,Jazz,,,,,,,,
Louisiana Music,Louisiana Music,Northern American Music,Northern American Music,Regional Music,,,,,,,,,,
Mbaqanga,Mbaqanga,Marabi,Marabi,Southern African Music,African Music,Regional Music,Jazz,,,,,,,
Zydeco,Zydeco,Louisiana Music,Louisiana Music,Northern American Music,Regional Music,,,,,,,,,
Korean Ballad,Korean Ballad,Pop,Pop,,,,,,,,,,,
Rage,R@ge,Trap,Trap,Hip Hop,,,,,,,,,,
Witch House,Witch H0use,Electronic,Electronic,,,,,,,,,,,
Tread,Tread,Trap,Trap,Hip Hop,,,,,,,,,,
Vanguarda paulista,Vanguarda paulista,Brazilian Music; Scenes & Movements,Brazilian Music,South American Music,Regional Music,Scenes & Movements,,,,,,,,
Bluegrass,Bluegrass,Country,Country,Northern American Music,Regional Music,,,,,,,,,
Hip Hop Soul,Hip H0p S0ul,Contemporary R&B,Contemporary R&B,R&B,,,,,,,,,,
Soukous,Soukous,Central African Music,Central African Music,African Music,Regional Music,,,,,,,,,
Fon Music,Fon Music,West African Music,West African Music,African Music,Regional Music,,,,,,,,,
Spanish Classical Music,Spanish Classical Music,Western Classical; Spanish Music,Spanish Music,Hispanic Music,Regional Music,European Music,Western Classical,Classical,,,,,,
Horror Synth,Horror Synth,Electronic,Electronic,,,,,,,,,,,
Big Music,Big Music,Pop Rock,Pop Rock,Pop,Rock,,,,,,,,,
Deep Tech,Deep Tech,Tech House,Tech House,House,EDM,Dance,Electronic,,,,,,,
Spy Music,Spy Music,Jazz; Cinematic Classical,Jazz,Cinematic Classical,Classical,,,,,,,,,
Post-Britpop,Post-Britp0p,Alternative Rock; Pop Rock,Alternative Rock,Rock,Pop Rock,Pop,,,,,,,,
French Electro,French Electro,Electro House,Electro House,EDM,House,Dance,Electronic,,,,,,,
Ballroom,Ballroom,House,House,EDM,Dance,Electronic,,,,,,,,
Diva House,Diva House,House,House,EDM,Dance,Electronic,,,,,,,,
Ambient Americana,Ambient Am–ricana,Ambient; Northern American Music,Ambient,Northern American Music,Regional Music,,,,,,,,,
Math Pop,Math P0p,Indie Rock; Math Rock,Indie Rock,Alternative Rock,Rock,Math Rock,,,,,,,,
Akishibu-kei,Akishibu-kei,Shibuya-kei; J-Pop,Shibuya-kei,Pop,J-Pop,Scenes & Movements,,,,,,,,
Lo-Fi House,Lo-Fi House,Outsider House,Outsider House,EDM,House,Dance,Electronic,,,,,,,
Funk brasileiro,F–nk brasileiro,Brazilian Music,Brazilian Music,South American Music,Regional Music,,,,,,,,,
Funk mandelão,F–nk mandelão,Funk brasileiro,Brazilian Music,South American Music,Regional Music,Funk brasileiro,,,,,,,,
Melodic Black Metal,Melodic Black Metal,Black Metal,Black Metal,Metal,Rock,,,,,,,,,
Easycore,Easycore,Pop Punk; Hardcore [Punk],Pop Punk,Punk Rock,Rock,Punk,Hardcore [Punk],,,,,,,
Grebo,Grebo,Alternative Dance,Alternative Dance,Alternative Rock,Rock,Dance,,,,,,,,
Deathcore,Deathcore,Metalcore,Metalcore,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],Metal,Rock,,,,
Hybrid Trap,Hybrid Trap,Trap [EDM],Trap [EDM],EDM,Dance,Electronic,,,,,,,,
Yakousei,Yakousei,J-Rock,J-Rock,Alternative Rock,Rock,,,,,,,,,
Breakstep,Breakstep,UK Garage,UK Garage,EDM,Dance,Electronic,,,,,,,,
Dembow,Dembow,Hispanic American Music; Caribbean Music,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,,,,,,,,
Merengue,Merengue,Hispanic American Music; Caribbean Music,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,,,,,,,,
Mambo urbano,Mambo urbano,Merengue,Merengue,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,,,,,,,
Opera,Opera,Western Classical,Western Classical,Classical,,,,,,,,,,
Trancecore,Tr–ncecore,Hardcore [Punk],Hardcore [Punk],Punk,Rock,,,,,,,,,
Neo-Acoustic,Neo-Acoustic,Indie Pop; Jangle Pop,Indie Pop,Pop,Jangle Pop,Pop Rock,Rock,Alternative Rock,,,,,,
Ballet,Ballet,Western Classical,Western Classical,Classical,,,,,,,,,,
Totalism,Totalism,Post-Minimalism,Post-Minimalism,Modern Classical,Classical,,,,,,,,,
Hardbag,Hardbag,Diva House; Euro House,Diva House,House,EDM,Euro House,Dance,Electronic,,,,,,
Rumba flamenca,Rumba flamenca,Flamenco,Flamenco,Traditional Folk,Folk,Regional Music,Spanish Folk Music,European Folk Music,Spanish Music,Hispanic Music,European Music,,,
Rock andaluz,Rock andaluz,Rock; Spanish Music,Rock,Spanish Music,Hispanic Music,Regional Music,European Music,,,,,,,
Music Hall,Music Hall,Musical Theatre; British Music,Musical Theatre,British Music,European Music,Regional Music,,,,,,,,
Nouvelle chanson française,Nouvelle chanson française,Chanson,Chanson,Regional Music,European Music,,,,,,,,,
White Voice,White Voice,European Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,,
Occitan Folk Music,Occitan Folk Music,French Folk Music,French Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,,
Auvergnat Folk Music,Auvergnat Folk Music,Occitan Folk Music,Occitan Folk Music,French Folk Music,European Folk Music,Traditional Folk,Folk,Regional Music,European Music,,,,,
Dreampunk,Dreamp–nk,Vapor,Vapor,Electronic,,,,,,,,,,
Slushwave,Slushwave,Vaporwave,Vaporwave,Electronic,Vapor,,,,,,,,,
Queercore,Queercore,Punk Rock; Scenes & Movements,Rock,Punk,Scenes & Movements,,,,,,,,,
Indie Surf,Indie Surf,Indie Rock; Surf Music,Indie Rock,Alternative Rock,Rock,Surf Music,,,,,,,,
Go-Go,Go-Go,Funk,Funk,R&B,,,,,,,,,,
Samba-jazz,S@mba-jazz,Jazz; Brazilian Music,Jazz,Brazilian Music,South American Music,Regional Music,,,,,,,,
Funk proibidão,F–nk proibidão,Funk brasileiro,Funk brasileiro,Brazilian Music,South American Music,Regional Music,,,,,,,,
Cyber Metal,Cyber Metal,Industrial Metal,Industrial Metal,Post-Industrial,Industrial & Noise,Rock,,,,,,,,
Western,Western,Country,Country,Northern American Music,Regional Music,,,,,,,,,
Old-Time,Old-Time,Appalachian Folk Music,Appalachian Folk Music,American Folk Music,Traditional Folk,Folk,Regional Music,,,,,,,
Swancore,Swancore,Post-Hardcore,Post-Hardcore,Punk,Hardcore [Punk],Rock,,,,,,,,
Epic Doom Metal,Epic Doom Metal,Traditional Doom Metal,Traditional Doom Metal,Doom Metal,Metal,Rock,,,,,,,,
US Power Metal,US P0wer Metal,Heavy Metal,Heavy Metal,Metal,Rock,,,,,,,,,
Technical Thrash Metal,Technical Thrash Metal,Thrash Metal,Thrash Metal,Metal,Rock,,,,,,,,,
Crossover Thrash,Crossover Thrash,Thrash Metal; Hardcore Punk,Thrash Metal,Metal,Rock,Hardcore Punk,Punk Rock,Punk,Hardcore [Punk],,,,,
Space Rock Revival,Space Rock Revival,Neo-Psychedelia; Space Rock,Neo-Psychedelia,Psych,Space Rock,Psychedelic Rock,Rock,,,,,,,
Mutant Disco,Mutant Disco,Disco,Disco,Dance,,,,,,,,,,
Songhai Music,Songhai Music,West African Music,West African Music,African Music,Regional Music,,,,,,,,,
Speedcore,Speedcore,Hardcore [EDM],Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,
J-core,J-core,Hardcore [EDM],Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,
Mid-School Hip Hop,Mid-School Hip Hop,Hardcore Hip Hop,Hardcore Hip Hop,Hip Hop,,,,,,,,,,
Denpa,Denpa,Pop,Pop,,,,,,,,,,,
MIDI Music,MIDI Music,Bit Music,Bit Music,Electronic,,,,,,,,,,
Extratone,Extratone,Speedcore,Speedcore,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,
Trap Soul,Trap S0ul,Trap; Contemporary R&B,Trap,Hip Hop,Contemporary R&B,R&B,,,,,,,,
Chilean Music,Chilean Music,South American Music,South American Music,Regional Music,,,,,,,,,,
Nueva canción chilena,Nueva canción chilena,Nueva canción latinoamericana; Chilean Music,Nueva canción latinoamericana,Contemporary Folk,Folk,Singer-Songwriter,Hispanic American Music,Hispanic Music,Regional Music,Nueva canción,Chilean Music,South American Music,,
Urban Cowboy,Urban C0wboy,Country Pop,Country Pop,Country,Northern American Music,Regional Music,Pop,,,,,,,
Canadian Folk Music,Canadian Folk Music,Traditional Folk; Northern American Music,Traditional Folk,Folk,Regional Music,Northern American Music,,,,,,,,
Canadian Maritime Folk,Canadian Maritime Folk,Canadian Folk Music,Canadian Folk Music,Traditional Folk,Folk,Regional Music,Northern American Music,,,,,,,
Moogsploitation,Moogsploitation,Electronic,Electronic,,,,,,,,,,,
Chillout,Chillout,Electronic,Electronic,,,,,,,,,,,
Midtempo Bass,Midtempo Bass,EDM,EDM,Dance,Electronic,,,,,,,,,
Melodic Hardcore,Melodic Hardcore,Hardcore Punk,Hardcore Punk,Punk Rock,Rock,Punk,Hardcore [Punk],,,,,,,
Denpa,Denpa,Pop,Pop,,,,,,,,,,,
MIDI Music,MIDI Music,Bit Music,Bit Music,Electronic,,,,,,,,,,
Red Dirt,Red Dirt,Country; Americana; Scenes & Movements,Country,Americana,Northern American Music,Regional Music,Scenes & Movements,,,,,,,
Beatboxing,Beatboxing,Top-level,Top-level,,,,,,,,,,,
Industrial Hardcore,Industrial Hardcore,Post-Industrial; Hardcore [EDM],Post-Industrial,Hardcore [EDM],Industrial & Noise,Dance,Electronic,,,,,,,
Afroswing,Afroswing,Hip Hop,Hip Hop,,,,,,,,,,,
Progressive Bluegrass,Progressive Bluegrass,Bluegrass,Bluegrass,Country,Northern American Music,Regional Music,,,,,,,,
Chachachá,Chachachá,Cuban Music,Cuban Music,Hispanic American Music,Hispanic Music,Regional Music,Caribbean Music,,,,,,,
Stomp and Holler,Stomp and Holler,Indie Folk; Folk Pop,Indie Folk,Folk Pop,Contemporary Folk,,,,,,,,,
Trance Metal,Tr@nce Metal,Metal,Metal,Rock,,,,,,,,,,
Kawaii Metal,Kawaii Metal,Metal; Scenes & Movements,Metal,Rock,Scenes & Movements,,,,,,,,,
Tracker Music,Tracker Music,Sequencer & Tracker,Sequencer & Tracker,Bit Music,Electronic,,,,,,,,,
Doskpop,Doskpop,Tracker Music; Spacesynth,Sequencer & Tracker,Bit Music,Spacesynth,EDM,Dance,Electronic,,,,,,
Yodeling,Yodeling,Traditional Folk,Traditional Folk,Regional Music,,,,,,,,,,
Country Yodeling,Country Yodeling,Traditional Country; Yodeling,Traditional Country,American Folk Music,Traditional Folk,Northern American Music,Regional Music,,,,,,,
Melodic Black Metal,Melodic Black Metal,Black Metal,Black Metal,Rock,,,,,,,,,,
Mariachi,Mariachi,Mexican Music,Mexican Music,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,
Canción melódica,Canción melódica,Pop; Hispanic Music,Pop,Hispanic Music,Regional Music,,,,,,,,,
Neurofunk,Neurof–nk,Drum and Bass,Drum and Bass,EDM,Dance,Electronic,,,,,,,,
Cumbia,Cumbia,Hispanic American Music,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,
Cumbia colombiana,Cumbia colombiana,Cumbia; South American Music; Caribbean Music,Hispanic American Music,Hispanic Music,South American Music,Caribbean Music,Regional Music,,,,,,,
Amazigh Music,Amazigh Music,North African Music,North African Music,Regional Music,,,,,,,,,,
Tuareg Music,Tuareg Music,Amazigh Music,Amazigh Music,North African Music,Regional Music,,,,,,,,,
Tishoumaren,Tishoumaren,Tuareg Music,Tuareg Music,Amazigh Music,North African Music,Regional Music,,,,,,,,
YTPMV,YTPMV,Top-level,Top-level,,,,,,,,,,,
Jump Blues,Jump Blues,Blues,Blues,,,,,,,,,,,
Briddim,Briddim,Brostep,Brostep,Dubstep,EDM,Dance,Electronic,,,,,,,
Tearout [Brostep],Tearout [Brostep],Brostep,Brostep,Dubstep,EDM,Dance,Electronic,,,,,,,
Rock Musical,Rock Musical,Rock; Musical Theatre,Rock,Musical Theatre,,,,,,,,,,
Neo-Traditionalist Country,Neo-Traditionalist Country,Contemporary Country,Contemporary Country,Northern American Music,Regional Music,,,,,,,,,
Ratchet Music,Ratchet Music,Hip Hop,Hip Hop,,,,,,,,,,,
Geek Rock,Geek Rock,Alternative Rock,Alternative Rock,,,,,,,,,,,
Rioplatense Music,Rioplatense Music,South American Music; Hispanic American Music,South American Music,Hispanic American Music,Regional Music,Hispanic Music,,,,,,,,
Tango,Tango,Rioplatense Music,Rioplatense Music,South American Music,Hispanic American Music,Regional Music,Hispanic Music,,,,,,,
Tango nuevo,Tango nuevo,Tango,Tango,Rioplatense Music,South American Music,Hispanic American Music,Regional Music,Hispanic Music,,,,,,
Djent,Djent,Progressive Metal,Progressive Metal,Rock,,,,,,,,,,
G-House,G-House,House,House,EDM,Dance,Electronic,,,,,,,,
Choral,Choral,Western Classical; Descriptor Genres,Western Classical,Classical,Descriptor Genres,,,,,,,,,
Electronicore,Electr0nicore,Hardcore [Punk],Hardcore [Punk],Punk,Rock,,,,,,,,,
Tearout,Tearout,Dubstep,Dubstep,EDM,Dance,Electronic,,,,,,,,
Dissonant Death Metal,Dissonant Death Metal,Technical Death Metal,Technical Death Metal,Death Metal,Metal,Rock,,,,,,,,
Sufi Music,Sufi Music,Regional Music,Regional Music,,,,,,,,,,,
Qawwali,Qawwali,Sufi Music; Hindustani Classical Music,Sufi Music,Hindustani Classical Music,South Asian Classical Music,South Asian Music,Regional Music,,,,,,,
